journal_name,category,if_2023,if_2022,涨跌分值
IMMUNITY,IMMUNOLOGY - SCIE(Q1),32.4,43.47,-11.074
Living Reviews in Relativity,"PHYSICS, PARTICLES & FIELDS - SCIE(Q1)",40.6,42.9,-2.3
Nature Reviews. Nephrology,UROLOGY & NEPHROLOGY - SCIE(Q1),41.5,42.44,-0.939
INTENSIVE CARE MEDICINE,CRITICAL CARE MEDICINE - SCIE(Q1),38.9,41.79,-2.887
Molecular Cancer,ONCOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),37.3,41.44,-4.144
NATURE GENETICS,GENETICS & HEREDITY - SCIE(Q1),30.8,41.31,-10.507
Nature Catalysis,"CHEMISTRY, PHYSICAL - SCIE(Q1)",37.8,40.71,-2.906
Nature Nanotechnology,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1)",38.3,40.52,-2.223
CIRCULATION,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1); PERIPHERAL VASCULAR DISEASE - SCIE(Q1),37.8,39.92,-2.118
Nature Photonics,"OPTICS - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)",35,39.73,-4.728
Energy & Environmental Science,"ENGINEERING, CHEMICAL - SCIE(Q1); CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1); ENERGY & FUELS - SCIE(Q1)",32.5,39.71,-7.214
JOURNAL OF TRAVEL MEDICINE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); MEDICINE, GENERAL & INTERNAL - SCIE(Q1); INFECTIOUS DISEASES - SCIE(Q1)",25.7,39.19,-13.494
Lancet Global Health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1)",34.3,38.93,-4.627
